Sl no,Field Description,Input,Confirmation,Remarks
1,District_Code,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
2,Block_Code,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
3,Block_Name,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
4,Asset_Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
5,Item_Description,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
6,Asset_make,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
7,Asset_Model,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
8,Serial_Number,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
9,MAC_Address,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
10,IP Address,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
11,Subnet,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
12,Firm ware,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
13,No_of  PON Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
14,Uplink Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
15,Power Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
16,No_Of WAN_Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
17,No_Of LANPorts,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
18,Switch Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
19,No_Of Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
20,VLAN Support,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
21,PoE Support,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
22,ONT Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
23,No of Ethernet Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
24,WiFi Capability,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
25,Rack Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
26,SizeU,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
27,Manufacture,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
28,Power Source,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
29,Battery Backup,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
30,Cooling System,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
31,Capacity_kVA,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
32,Input Voltage,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
33,Output Voltage,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
34,Capacity_Ah,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
35,Voltage,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
36,Battery Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
37,Fuel Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
38,Power Rating_W,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
39,Surge Protection,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
40,Panel Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
41,Battery Integration,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
42,Capacity_FiberPortsSplices,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
43,No_Of Input Output Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
44,FDMS Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
45,Rack Mount,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
46,Enclosure Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
47,Ingress Protection,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
48,No_Of Adapter Panels,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
49,No_Of Splice Trays,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
50,Cable Entry Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
51,Patch Cord Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
52,No_Of Patch Cords Installed,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
53,Fiber Core Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
54,Connector Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
55,Fiber Termination Method,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
56,Remarks,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
