Sl no,Field Description,Input,Confirmation,Remarks
1,State,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
2,District Code,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
3,Block Code,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
4,GP_Code,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
5,GP_Name,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
6,Optical Power in (dB),Measure Through OTDR. And Upload Picture/ PDF.,,"In Case of No, Option to Update the Details."
7,Ring_Code,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
8,Route_Code,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
9,LGD_Code,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
10,Lattitude,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
11,Longitude,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
12,Contact_Person,Pre Fetch from Existing Data,Option to Edit and Update,"In Case of No, Option to Update the Details."
13,Email,Pre Fetch from Existing Data,Option to Edit and Update,"In Case of No, Option to Update the Details."
14,Mobile,Pre Fetch from Existing Data,Option to Edit and Update,"In Case of No, Option to Update the Details."
15,ONTs_Installed,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
16,litup(Yes/No),Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
17,Phase(1 or 2),Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
18,OTDR_status,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
19,OTDR_status_date,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
20,Ring_topology,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
21,LPSM_status,Measure Through OTDR. And Upload Picture/ PDF.,Yes/No,"In Case of No, Option to Update the Details."
22,Fiber_core(12/24/48/96),Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
23,op_received_GP_date,Measure Through OTDR. And Upload Picture/ PDF.,Yes/No,"In Case of No, Option to Update the Details."
24,op_transmitted_from_block(dB),Measure Through OTDR. And Upload Picture/ PDF.,Yes/No,"In Case of No, Option to Update the Details."
25,op_transmitted_from_block_date,Measure Through OTDR. And Upload Picture/ PDF.,Yes/No,"In Case of No, Option to Update the Details."
26,splice_loss(dB),Measure Through OTDR. And Upload Picture/ PDF.,Yes/No,"In Case of No, Option to Update the Details."
27,remarks,,,
29,Asset_make,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
30,Asset_Model,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
31,Serial_Number,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
32,MAC_Address,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
33,IP Address,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
34,Subnet,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
35,Firm ware,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
36,No_of  PON Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
37,Uplink Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
38,Power Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
39,No_Of WAN_Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
40,No_Of LANPorts,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
41,Switch Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
42,No_Of Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
43,VLAN Support,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
44,PoE Support,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
45,ONT Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
46,No of Ethernet Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
47,WiFi Capability,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
48,Rack Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
49,SizeU,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
50,Manufacture,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
51,Power Source,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
52,Battery Backup,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
53,Cooling System,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
54,Capacity_kVA,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
55,Input Voltage,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
56,Output Voltage,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
57,Capacity_Ah,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
58,Voltage,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
59,Battery Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
60,Fuel Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
61,Power Rating_W,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
62,Surge Protection,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
63,Panel Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
64,Battery Integration,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
65,Capacity_FiberPortsSplices,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
66,No_Of Input Output Ports,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
67,FDMS Type,Pre Fetch from Existing Data,Yes/No,"In Case of No, Option to Update the Details."
