SL  no,District,Block,"Block Router Installed (Yes/No)",Block Router Installation Date,Block Code
1,Alappuzha,HARIPPAD,No,,6265
2,Alappuzha,MUTHUKULAM,No,,6268
3,Ernakulam,EDAPPALLY,No,,6274
4,Ernakulam,PALLURUTHY,No,,6279
5,Ernakulam,PARAVUR,No,,6282
6,Ernakulam,VYPEEN,No,,6285
7,Kannur,KANNUR,No,,6297
8,Kollam,CHAVARA,No,,6309
9,Kollam,CHITTUMALA,No,,6310
10,Kollam,MUKHATHALA,No,,6313
11,Kollam,SASTHAMCOTTAH,No,,6316
12,Malappuram,PONNANI,No,,6349
13,Malappuram,TANUR,No,,6350
14,Malappuram,VENGARA,No,,6353
15,Thrissur,CHERPU,No,,6390
16,Thrissur,MULLASSERY,No,,6396
17,Thrissur,PUZHAKKAL,No,,6399
18,Thrissur,VELLANGALLUR,No,,6401
19,Alappuzha,AMBALAPPUZHA,No,,6260
20,Alappuzha,ARYAD,No,,6261
21,Alappuzha,BHARANICAVU,No,,6262
22,Alappuzha,KANJIKKUZHY,No,,6266
23,Alappuzha,PATTANAKKAD,No,,6269
24,Alappuzha,THYCATTUSSERY,No,,6270
25,Alappuzha,VELIYANAD,No,,6271
26,Ernakulam,ANGAMALI,No,,6273
27,Ernakulam,MULANTHURUTHY,No,,6277
28,Kannur,PANOOR,No,,6883
29,Kollam,ITHIKKARA,No,,6311
30,Kollam,KOTTARAKKARA,No,,6312
31,Kollam,OACHIRA,No,,6314
32,Kottayam,ERATTUPETTA,No,,6318
33,Kozhikode,KUNNAMANGALAM,No,,6333
34,Kozhikode,KUNNUMMAL,No,,6334
35,Kozhikode,MELDAY,No,,6335
36,Kozhikode,THUNERI,No,,6339
37,Kozhikode,VADAKARA,No,,6340
38,Malappuram,KONDOTTY,No,,6342
39,Malappuram,KUTTIPPURAM,No,,6343
40,Malappuram,PERUMPADAPPU,No,,6348
41,Malappuram,TIRUR,No,,6351
42,Palakkad,KOLLENGODE,No,,6358
43,Palakkad,OTTAPPALAM,No,,6363
44,Palakkad,PATTAMBI,No,,6365
45,Pathanamthitta,KONNI,No,,6370
46,Thrissur,ANTHIKKAD,No,,6387
47,Thrissur,CHAVAKKAD,No,,6389
48,Thrissur,KODAKARA,No,,6393
49,Thrissur,MATHILAKAM,No,,6395
50,Thrissur,OLLUKKARA,No,,6397
51,Thrissur,THALIKKULAM,No,,6400
52,Thrissur,WADAKKANCHERY,No,,6402
53,Thrissur,CHOWANNUR,No,,6391
54,Alappuzha,CHAMPAKULAM,No,,6263
55,Alappuzha,CHENGANNUR,No,,6264
56,Alappuzha,MAVELIKKARA,No,,6267
57,Ernakulam,PAMPAKUDA,No,,6280
58,Ernakulam,VAZHAKKULAM,No,,6284
59,Kannur,EDAKKAD,No,,6294
60,Kannur,KUTHUPARAMBA,No,,6298
61,Kannur,THALASSERY,No,,6302
62,Kollam,ANCHAL,No,,6307
63,Kollam,CHADAYAMANGALAM,No,,6308
64,Kollam,PATHANAPURAM,No,,6315
65,Kollam,VETTIKKAVALA,No,,6317
66,Kottayam,ETTUMANOOR,No,,6319
67,Kottayam,LALAM,No,,6322
68,Kottayam,MADAPPALLY,No,,6323
69,Kottayam,PAMPADY,No,,6325
70,Kozhikode,CHELANNUR,No,,6330
71,Kozhikode,PERAMBRA,No,,6337
72,Malappuram,AREAKODE,No,,6341
73,Malappuram,MANKADA,No,,6345
74,Palakkad,ALATHUR,No,,6355
75,Palakkad,PALAKKAD,No,,6364
