Sl no,DISTRICT,BLOCK,Block Code,ONT LOCATION NAME,LOCATION CODE,ONT AVAILABILITY(%),REMARKS,HOTO Status,"GP Router Installed(Yes/No)",GP Router Installation Date,"Visibility in SNOC(Yes/ No)","Visibility in SNOC(Date)",LGD Code
1,ERNAKULAM,VAZHAKKULAM,6284,EDATHALA,KL-ERN-VAZ-221112,0,< 2%,Completed,No,,No,,KL-ERN-VAZ-221112
2,KOZHIKODE,MELDAY,6335,THURAYUR,KL-KOZ-MEL-221483,0,< 2%,Completed,No,,No,,KL-KOZ-MEL-221483
3,KOZHIKODE,PANTHALAYANI,6336,ARIKULAM,KL-KOZ-PAN-221484,0,< 2%,Completed,No,,No,,KL-KOZ-PAN-221484
4,MALAPPURAM,AREAKODE,6341,CHEKKODE,KL-MPP-ARE-221510,0,< 2%,Completed,No,,No,,KL-MPP-ARE-221510
5,MALAPPURAM,AREAKODE,6341,EDAVANNA,KL-MPP-ARE-221597,0,< 2%,Completed,No,,No,,KL-MPP-ARE-221597
6,MALAPPURAM,AREAKODE,6341,KAVANNUR,KL-MPP-ARE-221511,0,< 2%,Completed,No,,No,,KL-MPP-ARE-221511
7,MALAPPURAM,PERUMPADAPPU,6348,ALAMCODE,KL-MPP-PER-221561,0,< 2%,Completed,No,,No,,KL-MPP-PER-221561
8,MALAPPURAM,PERUMPADAPPU,6348,MARANCHERI,KL-MPP-PER-221562,0,< 2%,Completed,No,,No,,KL-MPP-PER-221562
9,MALAPPURAM,PERUMPADAPPU,6348,NANNAMUKKU,KL-MPP-PER-221563,0,< 2%,Completed,No,,No,,KL-MPP-PER-221563
10,MALAPPURAM,PERUMPADAPPU,6348,PERUMPADAPPA,KL-MPP-PER-221564,0,< 2%,Completed,No,,No,,KL-MPP-PER-221564
11,MALAPPURAM,PERUMPADAPPU,6348,VELIYANCODE,KL-MPP-PER-221565,0,< 2%,Completed,No,,No,,KL-MPP-PER-221565
12,ALAPPUZHA,HARIPPAD,6265,THRIKKUNNAPUZHA,KL-ALA-HAR-221004,0,< 2%,Completed,No,,No,,KL-ALA-HAR-221004
13,ALAPPUZHA,PATTANAKKAD,6269,EZHUPUNNA,KL-ALA-PAT-221023,0,< 2%,Completed,No,,No,,KL-ALA-PAT-221023
14,KOZHIKODE,MELDAY,6335,PAYYOLI,KL-KOZ-MEL-O221481,0,< 2%,Completed,No,,No,,KL-KOZ-MEL-O221481
15,MALAPPURAM,AREAKODE,6341,KIZHUPARAMBA,KL-MPP-ARE-221512,0,< 2%,Completed,No,,No,,KL-MPP-ARE-221512
16,MALAPPURAM,AREAKODE,6341,KUZHIMANNA,KL-MPP-ARE-221513,0,< 2%,Completed,No,,No,,KL-MPP-ARE-221513
17,MALAPPURAM,AREAKODE,6341,PULPATTA,KL-MPP-ARE-221514,0,< 2%,Completed,No,,No,,KL-MPP-ARE-221514
18,MALAPPURAM,AREAKODE,6341,URUNGATTIRI,KL-MPP-ARE-221515,0,< 2%,Completed,No,,No,,KL-MPP-ARE-221515
19,THIRUVANANTHAPURAM,ATHIYANNOOR,6376,KANJIRAMKULAM,KL-THM-ATH-221752,0,< 2%,Completed,No,,No,,KL-THM-ATH-221752
20,MALAPPURAM,AREAKODE,6341,BHQ AREAKODE,KL-MPP-ARE-BH6033,0,< 2%,Completed,No,,No,,KL-MPP-ARE-BH6033
21,MALAPPURAM,AREAKODE,6341,AREAKODE,KL-MPP-ARE-221509,0,< 2%,Completed,No,,No,,KL-MPP-ARE-221509
22,MALAPPURAM,PERUMPADAPPU,6348,BHQ PERUMPADAPPU,KL-MPP-PER-BH6040,0,< 2%,Completed,No,,No,,KL-MPP-PER-BH6040
23,MALAPPURAM,TANUR,6350,BHQ TANUR,KL-MPP-TAN-BH6042,1.23,< 2%,Completed,No,,No,,KL-MPP-TAN-BH6042
24,THIRUVANANTHAPURAM,PARASSALA,6382,CHENKAL,KL-THM-PAR-221787,4.47,02-61%,Completed,No,,No,,KL-THM-PAR-221787
25,THIRUVANANTHAPURAM,ATHIYANNOOR,6376,KARUMKULAM,KL-THM-ATH-221753,4.89,02-61%,Completed,No,,No,,KL-THM-ATH-221753
26,THIRUVANANTHAPURAM,ATHIYANNOOR,6376,KOTTUKAL,KL-THM-ATH-221754,4.89,02-61%,Completed,No,,No,,KL-THM-ATH-221754
27,THIRUVANANTHAPURAM,ATHIYANNOOR,6376,VENGANOOR,KL-THM-ATH-221755,4.89,02-61%,Completed,No,,No,,KL-THM-ATH-221755
28,THIRUVANANTHAPURAM,ATHIYANNOOR,6376,ATHIYANNOOR,KL-THM-ATH-221751,4.89,02-61%,Completed,No,,No,,KL-THM-ATH-221751
29,THIRUVANANTHAPURAM,NEMOM,6381,KALLIYOOR,KL-THM-NEM-221781,4.89,02-61%,Completed,No,,No,,KL-THM-NEM-221781
30,THIRUVANANTHAPURAM,NEMOM,6381,PALLICHAL,KL-THM-NEM-221784,4.89,02-61%,Completed,No,,No,,KL-THM-NEM-221784
31,THIRUVANANTHAPURAM,PARASSALA,6382,KULATHOOR,KL-THM-PAR-221789,4.89,02-61%,Completed,No,,No,,KL-THM-PAR-221789
32,THIRUVANANTHAPURAM,PARASSALA,6382,POOVAR,KL-THM-PAR-221791,4.89,02-61%,Completed,No,,No,,KL-THM-PAR-221791
33,THIRUVANANTHAPURAM,PARASSALA,6382,THIRUPURAM,KL-THM-PAR-221792,4.89,02-61%,Completed,No,,No,,KL-THM-PAR-221792
34,THIRUVANANTHAPURAM,ATHIYANNOOR,6376,KARODE,KL-THM-ATH-221788,4.89,02-61%,Completed,No,,No,,KL-THM-ATH-221788
35,THIRUVANANTHAPURAM,ATHIYANNOOR,6376,BHQ ATHIYANNOOR,KL-THM-ATH-BH6069,4.89,02-61%,Completed,No,,No,,KL-THM-ATH-BH6069
36,THIRUVANANTHAPURAM,NEMOM,6381,VILAPPIL,KL-THM-NEM-221785,12.12,02-61%,Completed,No,,No,,KL-THM-NEM-221785
37,KANNUR,PERAVOOR,6300,PERAVOOR,KL-KNU-PER-221234,12.38,02-61%,Completed,No,,No,,KL-KNU-PER-221234
38,PATHANAMTHITTA,ELANTHOOR,6368,CHERUKOLE,KL-PNM-ELA-221698,19.86,02-61%,Completed,No,,No,,KL-PNM-ELA-221698
39,KANNUR,IRITTY,6296,KEEZHUR - CHAVASSERI,KL-KNU-IRI-O221198,21.48,02-61%,Completed,No,,No,,KL-KNU-IRI-O221198
40,KOZHIKODE,MELDAY,6335,KEEZHARIYUR,KL-KOZ-MEL-221479,23.54,02-61%,Completed,No,,No,,KL-KOZ-MEL-221479
41,PATHANAMTHITTA,PULIKEEZHU,6374,NIRANAM,KL-PNM-PUL-221740,27.23,02-61%,Completed,No,,No,,KL-PNM-PUL-221740
42,KOTTAYAM,VAZHOOR,6328,KARUKACHAL,KL-KTM-VAZ-221396,28.09,02-61%,Completed,No,,No,,KL-KTM-VAZ-221396
43,KOZHIKODE,THUNERI,6339,EDACHERI,KL-KOZ-THU-221500,28.57,02-61%,Completed,No,,No,,KL-KOZ-THU-221500
44,KOZHIKODE,BALUSSERI,6329,NADUVANNUR,KL-KOZ-BAL-221439,28.59,02-61%,Completed,No,,No,,KL-KOZ-BAL-221439
45,PATHANAMTHITTA,RANNI,6375,SEETHATHODU,KL-PNM-RAN-221748,28.81,02-61%,Completed,No,,No,,KL-PNM-RAN-221748
46,ALAPPUZHA,HARIPPAD,6265,KARTHIKAPPALLY,KL-ALA-HAR-221000,28.87,02-61%,Completed,No,,No,,KL-ALA-HAR-221000
47,KOZHIKODE,THUNERI,6339,THUNERI,KL-KOZ-THU-221502,28.96,02-61%,Completed,No,,No,,KL-KOZ-THU-221502
48,PATHANAMTHITTA,KONNI,6370,MALAYALAPUZHA,KL-PNM-KON-221712,29.11,02-61%,Completed,No,,No,,KL-PNM-KON-221712
49,ALAPPUZHA,MUTHUKULAM,6268,MUTHUKULAM,KL-ALA-MUT-221020,29.33,02-61%,Completed,No,,No,,KL-ALA-MUT-221020
50,PATHANAMTHITTA,KONNI,6370,PRAMADOM,KL-PNM-KON-221714,29.64,02-61%,Completed,No,,No,,KL-PNM-KON-221714
51,THRISSUR,KODAKARA,6393,BHQ KODAKARA,KL-THR-KOD-BH6087,29.73,02-61%,Completed,No,,No,,KL-THR-KOD-BH6087
52,ALAPPUZHA,PATTANAKKAD,6269,KODAMTHURUTHU,KL-ALA-PAT-221025,29.96,02-61%,Completed,No,,No,,KL-ALA-PAT-221025
53,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,6377,VAKKOM,KL-THM-CHI-221762,30.09,02-61%,Completed,No,,No,,KL-THM-CHI-221762
54,ALAPPUZHA,VELIYANAD,6271,KAVALAM,KL-ALA-VEL-221035,30.16,02-61%,Completed,No,,No,,KL-ALA-VEL-221035
55,ALAPPUZHA,BHARANICAVU,6262,NOORANAD,KL-ALA-BHA-220979,30.29,02-61%,Completed,No,,No,,KL-ALA-BHA-220979
56,ALAPPUZHA,VELIYANAD,6271,NEELAMPEROOR,KL-ALA-VEL-221037,30.48,02-61%,Completed,No,,No,,KL-ALA-VEL-221037
57,KOZHIKODE,MELDAY,6335,MEPPAYUR,KL-KOZ-MEL-221480,30.72,02-61%,Completed,No,,No,,KL-KOZ-MEL-221480
58,MALAPPURAM,TANUR,6350,VALAVANNUR,KL-MPP-TAN-221576,30.78,02-61%,Completed,No,,No,,KL-MPP-TAN-221576
59,PATHANAMTHITTA,KONNI,6370,ARUVAPULAM,KL-PNM-KON-221710,30.81,02-61%,Completed,No,,No,,KL-PNM-KON-221710
