S.no,Zone Name,BA Name,District name,District LGD Code,BLOCK NAME,Block LGD Code,GP Name,GP NAME,LGD CODE,Router  Location Name,GP Nos,"Convert to Municipality(GP COUNT)","GP Count ammendment","BSNL OFC SCOPE(AS PER RFP)(KM)","OFC SCOPE(AS PER RFP)",Block KML ASSIGNED,Proposed KML Submission Date ,KML Received (Yes/No),KML received date,KML Submitted to BSNL through mail (Yes/No), Block KML Submitted to BSNL through mail date,Length as per KML (Proposed),Length as per KML (Incremental),BSNL Feedback,Resubmission of ammedmend date,BSNL KML Acceptance,BSNL KML Acceptance Date,KML Length After  approval,GP Name as per Desktop Survey,Block Router Location Name as per Desktop Survey,ICP Name as per Desktop Survey,Reffered for documentation work,Reffered for documentation date,Document Ready for Submission,Document Ready for Submission date,No of GP's as per Desktop Survey,"Route Length as per Desktop Survey as per documentation(In Km)",Document Submission to BSNL,Signoff from BSNL authority date,Physical survey proposed date,Physical survey Start date,Physical survey End date,Representative from APL Side,Representative from IE Side,Representative from BSNL Side,Videography of the Route Satatus,"Physical Survey WIP",Physical survey status,No of Rings ,Total route length as per physical survey,Existing Incremental in this Block (KM),BSNL Leased OFC (KM),Incremental Route length to be use in new Ring (KM),New OFC to be laid (KM),"Row identify kn","Row Pending KM",Infra Report Received from SRIT,Survey Report Preparation Status,Report Submission Date,Final KML after Physical Survey,Physical Survey Approved (Yes/No),BOQ Prepared,BOQ Submitted,BOQ Submition date,BOQ Approved,,
1,South Zone,ALAPPUZHA,ALAPPUZHA,509,AMBALAPPUZHA,6260,AMBALAPPUZHA ( NORTH ),AMBALAPPUZHA ( NORTH ),220968,AMBALAPUZHA,1,,,24.06,28,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,63.7,,Confirmation mail received,,Yes,18-09-2025,63.67,,,,,,,,,,,,,,,,,,,,,,,4.9,14.0,,,,,,,,0,,0,0,0,0,KL-ALA-AMB-220968,9.40647 76.35124
2,South Zone,ALAPPUZHA,ALAPPUZHA,509,AMBALAPPUZHA,6260,AMBALAPPUZHA(SOUTH),AMBALAPPUZHA(SOUTH),220969,AMBALAPUZHA,1,,,24.06,28,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,63.7,,Confirmation mail received,,Yes,18-09-2025,63.67,,,,,,,,,,,,,,,,,,,,,,,4.9,14.0,,,,,,,,0,,0,0,0,0,KL-ALA-AMB-220969,9.38371 76.35621
3,South Zone,ALAPPUZHA,ALAPPUZHA,509,AMBALAPPUZHA,6260,PUNNAPRA (NORTH),PUNNAPRA (NORTH),220970,AMBALAPUZHA,1,,,24.06,28,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,63.7,,Confirmation mail received,,Yes,18-09-2025,63.67,,,,,,,,,,,,,,,,,,,,,,,4.9,14.0,,,,,,,,0,,0,0,0,0,KL-ALA-AMB-220970,9.45103 76.34226
4,South Zone,ALAPPUZHA,ALAPPUZHA,509,AMBALAPPUZHA,6260,PUNNAPRA(SOUTH),PUNNAPRA(SOUTH),220971,AMBALAPUZHA,1,,,24.06,28,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,63.7,,Confirmation mail received,,Yes,18-09-2025,63.67,,,,,,,,,,,,,,,,,,,,,,,4.9,14.0,,,,,,,,0,,0,0,0,0,KL-ALA-AMB-220971,9.43257 76.34515
5,South Zone,ALAPPUZHA,ALAPPUZHA,509,AMBALAPPUZHA,6260,PURAKKAD,PURAKKAD,220972,AMBALAPUZHA,1,,,24.06,28,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,63.7,,Confirmation mail received,,Yes,18-09-2025,63.67,,,,,,,,,,,,,,,,,,,,,,,4.9,14.0,,,,,,,,0,,0,0,0,0,KL-ALA-AMB-220972,"9.36261,76.36199"
6,South Zone,ALAPPUZHA,ALAPPUZHA,509,ARYAD,6261,ARYAD,ARYAD,220973,SL PURAM,1,,,19.4,27,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,36.0,,Confirmation mail received,,Yes,18-09-2025,35.93,,,,,,,,,,,,,,,,,,,,,,,3.6,46.5,,,,,,,,0,,0,0,0,0,KL-ALA-ARY-220973,9.5404 76.34232
7,South Zone,ALAPPUZHA,ALAPPUZHA,509,ARYAD,6261,MANNANCHERY,MANNANCHERY,220974,SL PURAM,1,,,19.4,27,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,36.0,,Confirmation mail received,,Yes,18-09-2025,35.93,,,,,,,,,,,,,,,,,,,,,,,3.6,46.5,,,,,,,,0,,0,0,0,0,KL-ALA-ARY-220974,9.57215 76.34718
8,South Zone,ALAPPUZHA,ALAPPUZHA,509,ARYAD,6261,MARARIKKULAM SOUTH,MARARIKKULAM SOUTH,220975,SL PURAM,1,,,19.4,27,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,36.0,,Confirmation mail received,,Yes,18-09-2025,35.93,,,,,,,,,,,,,,,,,,,,,,,3.6,46.5,,,,,,,,0,,0,0,0,0,KL-ALA-ARY-220975,9.56357 76.30936
9,South Zone,ALAPPUZHA,ALAPPUZHA,509,BHARANICAVU,6262,BHARANIKKAVU,BHARANIKKAVU,220976,KATTANAM,1,,,43.58,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,48.8,,Confirmation mail received,,Yes,19-09-2025,45.49,,,,,,,,,,,,,,,,,,,,,,,4.3,31.5,,,,,,,,0,,0,0,0,0,KL-ALA-BHA-220976,9.17746 76.55343
10,South Zone,ALAPPUZHA,ALAPPUZHA,509,BHARANICAVU,6262,CHUNAKKARA,CHUNAKKARA,220977,KATTANAM,1,,,43.58,30,Saurav Kumar,12-08-2025,Yes,12-08-2025,Yes,12-08-2025,48.8,,Confirmation mail received,,Yes,19-09-2025,45.49,,,,,,,,,,,,,,,,,,,,,,,4.3,31.5,,,,,,,,0,,0,0,0,0,KL-ALA-BHA-220977,9.19798 76.59811
